Court_Id,Name,Borough,Location,Num_Of_Courts,Lat,Lon
X169,Agnes Haywood Playground,Bronx,"E. 215 St., Barnes Ave., E. 216 St.",2.0,40.8804,-73.8621
X172,Allerton Playground,Bronx,"Allerton, Bouck, Throop Aves. & Stedman Place",4.0,40.8659,-73.8506
X219,Arcilla Playground,Bronx,"Clay, Park, and Teller Aves., E. 164 St.",4.0,40.827,-73.9148
X150J,Bailey Playground,Bronx,Bailey Avenue & 234 St.,6.0,40.8818,-73.9002
X166,Behagen Playground,Bronx,"165-166 Sts., Union Avenue",2.0,40.8258,-73.9008
X108,Belmont Playground,Bronx,"E. 181 & E. 182 Sts., Crotona & Belmont Aves.",6.0,40.8504,-73.8874
X002,Brady Playground,Bronx,Bronxdale Blvd. & Bronx Park East,4.0,40.8519,-73.8694
X183,Bruckner Playground,Bronx,Phillips & Cross Bronx Expressway,2.0,40.8267,-73.829
X121,Bufano Playground,Bronx,Waterbury & LaSalle Aves.,8.0,40.8385,-73.8315
X232,Burns Playground,Bronx,"Mace, Lodovick, & Gunther Aves.",4.0,40.863,-73.8364
X187,Campanaro Playground,Bronx,"Gun Hill & Eastchester Rds., Arnow Ave.",2.0,40.8678,-73.843
X194,Captain Rivera Playground,Bronx,"Forest Ave., E. 156 St.",2.0,40.8178,-73.9067
X160,Caserta Playground,Bronx,St. Raymond Ave. & Purdy St.,2.0,40.8372,-73.8538
X200,Clark Playground,Bronx,"3rd Ave, E. 144 to 145 Sts.",1.0,40.8137,-73.9214
X122,Colucci Playground,Bronx,Mayflower & Wilkinson Aves.,4.0,40.8524,-73.8343
X021,Drew Playground,Bronx,"Fulton Ave., E. 169 St.",2.0,40.8333,-73.9033
X185,Dunbar Playground,Bronx,"E. 161 St., Trinity Ave",2.0,40.8233,-73.9063
X156,Eastchester Playground,Bronx,Adee & Tenbroeck Aves.,4.0,40.8697,-73.853
X165,Edenwald Playground,Bronx,Schieffelin Ave. & E. 229 St.,4.0,40.8838,-73.8457
X146,Flynn Playground,Bronx,"E. 157 St., 3rd Ave., E. 158 St., Brook Ave.",2.0,40.8209,-73.9123
X150E,Fordham Landing,Bronx,Fordham Road and Major Deegan,8.0,40.8635,-73.9101
X020,Fort Independence Playground,Bronx,Sedgwick & Stevenson Aves.,2.0,40.882,-73.8946
X233,Fountain of Youth Playground,Bronx,"Union Ave., E. 150 St., Tinton Ave. and E. 152 St.",4.0,40.814,-73.9054
X114,Goble Playground,Bronx,Goble Rd. & Inwood Ave.,2.0,40.8437,-73.9169
